level,gpa,distance_km,disability,medical_condition,financial_need,first_generation,international,gender,previous_housing,semesters_completed,academic_probation,family_size,family_income_bracket,employment_hours,priority_score,was_allocated,application_date
200,3.51975016881104,9.010159374660482,0,0,0,0,0,F,0,3.0,0,5,8,7.6507293034405865,73.95,1,2023-01-23
400,3.8270443880748184,41.56159704412753,0,0,1,0,0,Other,0,7.0,0,3,2,19.66588077992799,98.39,1,2023-02-27
300,3.407039294451815,5.916100939662981,0,0,0,0,0,M,0,5.0,0,4,6,1.2572390743871786,77.71,1,2023-06-19
200,2.6858581593986046,2.716784375837066,0,0,0,0,0,F,0,2.0,0,2,3,29.869630051412244,73.22,1,2023-05-13
100,3.624156770996881,72.25727389380624,0,0,1,1,0,F,0,1.0,0,2,3,40.0,100.0,1,2023-09-04
100,3.0873667783792955,191.6659547910288,0,0,0,0,0,M,1,0.0,0,4,6,5.242824680870779,91.23,1,2023-04-27
100,3.638118358561425,67.9285556921544,0,0,0,1,0,M,0,1.0,0,3,3,1.8951503490325572,96.41,1,2023-03-23
400,2.122917133013371,80.6150929883746,1,0,1,0,0,F,0,6.0,0,6,4,18.28175146425736,99.17,1,2023-06-19
200,3.1313209701980433,12.88700483030384,1,0,0,0,0,F,0,3.0,0,4,3,22.311789853540446,91.47,1,2023-03-06
300,4.453077600263015,139.63221611948222,0,0,1,0,0,M,1,4.0,0,4,4,35.712337379757884,100.0,1,2023-10-07
100,2.7789136355510125,55.455010038845344,0,0,1,0,0,M,0,1.0,0,3,4,15.172971874967487,100.0,1,2023-09-03
400,0.9871869723707912,1.1278916661600367,0,0,0,0,0,M,0,7.0,0,5,3,2.6096237572762626,68.82,1,2023-02-16
300,2.1736561139709303,240.17008850844326,1,0,0,0,0,M,0,4.0,0,2,3,15.901558223476513,99.7,1,2023-03-18
100,2.789683463646662,7.5957332758732035,1,0,0,0,0,M,0,1.0,0,3,6,0.9184654519406378,76.43,1,2023-03-23
100,3.25516545567205,89.31128113314819,0,0,0,0,0,M,0,0.0,0,4,1,33.59898995462312,96.01,1,2023-07-27
100,2.4315146574019253,57.439066152913846,0,0,1,0,0,F,0,1.0,0,4,4,29.336020325384965,98.65,1,2023-06-04
100,2.6892153773784875,109.67850882817883,0,0,1,0,0,M,0,0.0,0,4,5,7.765448177933686,97.49,1,2023-01-10
200,4.272318467805037,127.53960506758757,0,0,1,0,0,F,0,2.0,0,3,4,18.005147915424462,100.0,1,2023-08-23
200,3.7060086737694373,3.712955668952553,0,0,0,1,0,M,1,3.0,0,1,6,1.5687079138045137,81.52,1,2023-12-27
100,2.6823909375606276,73.72635381707684,0,0,0,0,0,F,0,0.0,0,4,1,6.039785346353971,91.51,1,2023-10-15
200,2.2748398088136788,33.971366883553294,0,0,1,1,0,F,0,3.0,0,4,2,19.751680224740106,96.59,1,2023-07-19
100,3.269550971020299,85.18117534696988,0,0,0,0,0,M,0,0.0,0,4,4,14.348693953539016,92.14,1,2023-05-12
100,3.9362617875243475,99.98049933394553,0,0,0,0,0,F,0,1.0,0,4,2,4.073655232416697,95.55,1,2023-01-17
200,3.5871455953946754,86.74490139197263,0,0,0,0,0,F,1,2.0,0,4,4,5.118564781939947,98.25,1,2023-07-10
200,3.300003167737232,3.6177558039937043,0,0,0,0,0,M,0,3.0,0,4,5,2.124496230424127,73.37,1,2023-10-01
300,3.890150660214339,36.505763778372994,1,0,1,0,0,M,0,4.0,0,2,1,15.602182343221306,97.11,1,2023-07-08
100,2.9849074977398087,45.653913340791775,0,0,1,1,0,F,0,0.0,0,4,2,18.69925564837102,100.0,1,2023-08-06
200,3.141353528155944,9748.186932181954,0,0,1,0,1,F,1,2.0,0,5,1,21.034267881868015,97.9,1,2023-05-10
200,3.8990615950083676,51.010728379673985,0,0,0,0,0,M,0,2.0,0,5,6,8.03515463254758,91.74,1,2023-12-17
100,3.7093344405629383,169.19385321663844,0,1,1,0,0,M,0,1.0,0,3,1,18.390200828016052,98.29,1,2023-04-20
200,3.345869583127589,261.5429809413714,0,0,0,0,0,F,0,2.0,0,3,6,16.435764838564157,97.07,1,2023-05-21
100,2.602645662223869,123.54671845204182,0,0,1,0,0,M,0,1.0,0,5,3,23.193248484986995,100.0,1,2023-05-31
100,3.7754362861906694,4.169430450421681,0,0,0,0,0,M,0,1.0,0,4,8,18.165300477066744,69.22,1,2023-06-12
400,3.799953577583747,34.5036780029968,0,0,0,0,0,M,0,6.0,0,1,7,8.315620067113526,96.88,1,2023-03-01
400,3.8090299460119543,12.278802251154087,0,0,0,0,0,F,0,7.0,0,3,3,10.224750001421691,84.36,1,2023-03-09
300,2.0322208712854013,24.095308218230464,1,0,1,0,0,F,0,5.0,0,4,3,22.707405724097324,98.5,1,2023-04-12
100,4.372715850326323,62.02107264850213,1,0,0,0,0,M,0,1.0,0,3,5,11.690896933747677,97.82,1,2023-12-02
100,4.041095856927657,1.3751100629335056,0,0,0,0,0,F,1,0.0,0,2,1,5.642984402387365,71.67,1,2023-08-06
300,3.467233438451331,109.8662441134154,0,0,0,0,0,F,1,4.0,0,3,3,7.35075573312029,100.0,1,2023-04-01
200,4.014684177633003,3.9248733374034757,0,0,0,0,0,F,0,3.0,0,2,5,5.849673035063719,73.78,1,2023-09-15
